average_loudness,barkbands_crest.mean,barkbands_crest.stdev,barkbands_flatness_db.mean,barkbands_flatness_db.stdev,barkbands_kurtosis.mean,barkbands_kurtosis.stdev,barkbands_skewness.mean,barkbands_skewness.stdev,barkbands_spread.mean,barkbands_spread.stdev,dissonance.mean,dissonance.stdev,dynamic_complexity,erbbands_crest.mean,erbbands_crest.stdev,erbbands_flatness_db.mean,erbbands_flatness_db.stdev,erbbands_kurtosis.mean,erbbands_kurtosis.stdev,erbbands_skewness.mean,erbbands_skewness.stdev,erbbands_spread.mean,erbbands_spread.stdev,hfc.mean,hfc.stdev,loudness_ebu128.integrated,loudness_ebu128.loudness_range,loudness_ebu128.momentary.mean,loudness_ebu128.momentary.stdev,loudness_ebu128.short_term.mean,loudness_ebu128.short_term.stdev,melbands_crest.mean,melbands_crest.stdev,melbands_flatness_db.mean,melbands_flatness_db.stdev,melbands_kurtosis.mean,melbands_kurtosis.stdev,melbands_skewness.mean,melbands_skewness.stdev,melbands_spread.mean,melbands_spread.stdev,pitch_salience.mean,pitch_salience.stdev,silence_rate_20dB.mean,silence_rate_20dB.stdev,silence_rate_30dB.mean,silence_rate_30dB.stdev,silence_rate_60dB.mean,silence_rate_60dB.stdev,spectral_centroid.mean,spectral_centroid.stdev,spectral_complexity.mean,spectral_complexity.stdev,spectral_decrease.mean,spectral_decrease.stdev,spectral_energy.mean,spectral_energy.stdev,spectral_energyband_high.mean,spectral_energyband_high.stdev,spectral_energyband_low.mean,spectral_energyband_low.stdev,spectral_energyband_middle_high.mean,spectral_energyband_middle_high.stdev,spectral_energyband_middle_low.mean,spectral_energyband_middle_low.stdev,spectral_entropy.mean,spectral_entropy.stdev,spectral_flux.mean,spectral_flux.stdev,spectral_kurtosis.mean,spectral_kurtosis.stdev,spectral_rms.mean,spectral_rms.stdev,spectral_rolloff.mean,spectral_rolloff.stdev,spectral_skewness.mean,spectral_skewness.stdev,spectral_spread.mean,spectral_spread.stdev,spectral_strongpeak.mean,spectral_strongpeak.stdev,zerocrossingrate.mean,zerocrossingrate.stdev,rhythm.beats_count,rhythm.beats_loudness.mean,rhythm.beats_loudness.stdev,rhythm.bpm,rhythm.bpm_histogram_first_peak_bpm,rhythm.bpm_histogram_first_peak_weight,rhythm.bpm_histogram_second_peak_bpm,rhythm.bpm_histogram_second_peak_spread,rhythm.bpm_histogram_second_peak_weight,rhythm.danceability,rhythm.onset_rate,tonal.chords_changes_rate,tonal.chords_number_rate,tonal.chords_strength.mean,tonal.chords_strength.stdev,tonal.hpcp_crest.mean,tonal.hpcp_crest.stdev,tonal.hpcp_entropy.mean,tonal.hpcp_entropy.stdev,tonal.key_edma.strength,tonal.key_krumhansl.strength,tonal.key_temperley.strength,tonal.tuning_diatonic_strength,tonal.tuning_equal_tempered_deviation,tonal.tuning_frequency,tonal.tuning_nontempered_energy_ratio,label
0.9859632254,16.98827744,6.152027607,0.2345084399,0.1047491133,54.93483353,111.0801163,4.672719955,4.311406612,22.17133522,29.32156372,0.4572741985,0.04895771295,2.093800783,7.925114155,4.201503754,0.1337148249,0.04809873924,2.278139114,5.695917606,0.5438076854,1.32249105,55.83799744,29.62806129,35.15311813,41.04235458,-8.397049904,0.7070832253,-8.463173866,0.7854133844,-8.362128258,0.2427547425,23.56210518,7.311566353,0.3074612617,0.1373149306,110.7626266,159.6457672,6.598718166,4.424198151,18.46452904,31.46370888,0.3603168726,0.1802534014,1,0,0.6674400568,0.4711300731,0.03248259798,0.1772787273,1284.519653,1089.633179,16.4578495,12.1471014,-2.35E-08,1.67E-08,0.09196142107,0.06291722506,0.002568457043,0.004442600068,0.07681450993,0.06401178986,0.003411562648,0.004797375761,0.01137241162,0.0129570365,7.632120132,0.7776340246,0.132984519,0.0990293175,3.616150141,5.604000568,0.008793038316,0.003521510866,1676.011353,3200.846191,1.554356337,0.8776438832,6958760.5,2411435.75,0.630859673,0.3681687415,0.05992717668,0.07649342716,63,0.05257521197,0.0222249385,126.0110931,126,0.1803278327,133,0,0.01612903178,2.062886715,5.397878647,0.07882534713,0.01545595098,0.5753924251,0.08542701602,14.40382004,6.845767498,1.935213685,0.8258750439,0.6719636917,0.6506490707,0.6014382839,0.6148657799,0.230020225,434.1931152,0.8940057755,suaraarchive
0.9818794727,16.1548748,7.029408455,0.2487489432,0.1299765259,139.3667145,373.6986084,6.428803921,7.32834053,24.01805687,30.3711071,0.4452815354,0.05072939396,2.130654573,9.639316559,5.357343674,0.1353862137,0.04986809194,4.278549671,15.03172588,0.7678211331,1.992016673,80.64936066,43.01695633,32.17124176,40.01268387,-8.007819176,0.4583439827,-8.078047752,0.8077217937,-7.964410305,0.2496335506,23.18445969,8.045871735,0.3297324479,0.1551929414,237.5007324,371.2105713,8.995059013,7.589220524,21.11428452,38.59889984,0.4237913191,0.2435130626,0.9992266297,0.02779920213,0.6643464565,0.4722209871,0.004640371073,0.06796150655,1257.705688,1110.046265,9.465583801,8.048567772,-2.45E-08,2.56E-08,0.09546481073,0.09632721543,0.002929664217,0.004938935395,0.08388865739,0.09911635518,0.000943307823,0.001778007252,0.009452992119,0.01467507891,7.632629871,0.7736514807,0.1233909726,0.1140825152,1.56030798,3.071587563,0.008487458341,0.004593411926,1710.505005,3095.543945,1.074853539,0.6408188939,7656882,2041858.875,0.5927493572,0.4424745142,0.06236707419,0.07057127357,62,0.2453774661,0.07113841176,124.9705582,126,0.4262295365,0,0,0,2.298949242,5.431198597,0.09582689404,0.009273570031,0.5679908395,0.08974754065,12.18324471,5.060322285,2.261894941,0.8166129589,0.4678723812,0.4772334993,0.4855585396,0.56086725,0.2638367712,434.1931152,0.9176050425,suaraarchive
0.9873412251,17.70404625,5.994381905,0.2211134732,0.1027469561,61.24336624,91.16722107,5.480647087,4.225255013,16.82006645,21.97812462,0.4684339762,0.01891570352,1.754670858,7.652550697,3.640443087,0.1264025122,0.03473061696,-0.06690288335,1.837763071,0.1982527822,0.9041000009,58.41946411,16.63327026,24.66593933,33.104702,-7.813489914,0.9284477234,-7.84282589,0.5114705563,-7.825705051,0.3307422101,22.66941452,7.147757053,0.308085531,0.1181275398,110.0449524,117.3871155,7.300422668,3.920438051,10.87760067,14.50166416,0.323212862,0.1863475442,1,0,0.6225831509,0.4847395718,0,0,1268.286499,896.8762817,16.76952744,8.840873718,-2.48E-08,1.84E-08,0.09569295496,0.06934770197,0.001712612459,0.004398889374,0.084642075,0.07120294124,0.002154045971,0.001740677166,0.00942610763,0.01693207026,7.57967186,0.4794734716,0.1571400315,0.08176766336,3.281621695,2.712578535,0.009022288956,0.003457944607,787.9866943,1585.459961,1.295845032,0.4450173974,4803856,1271949.375,0.6036630869,0.4060203731,0.03631030023,0.03759898245,64,0.09564435482,0.07110806555,130.5626984,129,0.446428597,120,0.4000000358,0.04761904851,4.236691475,4.398271084,0.03245749697,0.006182380021,0.6016682982,0.07483715564,11.45775509,4.835477352,2.214764118,0.6268128157,0.4071107805,0.4221297503,0.44296664,0.6136986017,0.2409003228,434.1931152,0.9568775892,suaraarchive
0.9881730676,18.19667244,5.676707268,0.2503460944,0.1163253933,131.6424103,197.4297028,7.458259106,6.250255108,25.07076836,33.72694397,0.4713835418,0.02254880778,1.538299561,8.798940659,4.242236614,0.1002779752,0.02684387565,0.4219206572,2.115264893,0.06008318812,1.077416062,81.96753693,40.6411438,75.70664215,127.7872238,-8.996073723,0.2366628647,-9.008272171,0.3251965046,-9.000406265,0.0794551596,31.84225082,6.807462692,0.3528747857,0.1385086626,425.9734497,584.4801636,13.39582157,9.460007668,14.10533619,28.83015442,0.2287631929,0.1930424571,0.892498076,0.3097524941,0.3673627079,0.4820834398,0,0,1784.00354,1305.822266,13.76179409,10.53407478,-4.02E-08,2.86E-08,0.1586305648,0.1054205075,0.006449498702,0.01266953629,0.1437401474,0.1113380641,0.002369972644,0.003701597918,0.007143220399,0.01806009747,7.880811691,0.6332042813,0.1519376636,0.09190421551,2.134656906,2.294520378,0.01175894402,0.004060628358,1678.74939,3679.518799,1.27609241,0.5177918077,8476628,2268184,0.6865589023,0.4662761986,0.06258081645,0.07649856806,63,0.1026389897,0.03560300544,127.7448273,129,0.461538434,123,0,0.145161286,3.730193377,5.697760582,0.06955178082,0.00309119001,0.5731786489,0.05301143602,12.49958229,5.057713509,2.151182175,0.751411438,0.5388042331,0.5362378955,0.5318328738,0.5831133127,0.2538504303,434.1931152,0.9349062443,suaraarchive
0.9746095538,16.86878014,5.9656353,0.2720787823,0.1289649904,67.50250244,97.90962219,5.588887691,4.365336895,18.52111244,22.73731995,0.4728559852,0.0344325155,2.861344099,7.517573357,3.487323999,0.1443149,0.05621609837,1.30290246,6.339656353,-0.009903871454,1.43551445,87.74538422,42.44027328,26.31671143,27.25185204,-9.896453857,0.7332315445,-10.02095032,1.09717226,-9.934317589,0.2417761981,26.71945763,9.869106293,0.3468462825,0.1522636265,326.9049072,549.2337646,11.82752514,9.175755501,14.30088997,26.38500214,0.3316091597,0.2431208789,1,0,0.4779582322,0.4995129406,0.05645785108,0.2308055162,1643.634033,1102.454712,10.01856136,11.27399063,-3.15E-08,2.66E-08,0.1213059351,0.1007164493,0.002021222841,0.002692105947,0.1074218526,0.09817302227,0.001551970374,0.002956496086,0.009648948908,0.01732507534,7.785200596,0.6766839027,0.1356053203,0.1083781943,1.292294264,2.135091782,0.00944685284,0.005394840147,1329.452393,2612.123291,0.9532247782,0.4962608516,7353990,2033980.375,0.6098369956,0.4033000171,0.05919532105,0.07178296894,60,0.1634076387,0.05354961008,122.4110184,123,0.222222209,117,0,0.08474576473,1.764772892,4.998035431,0.05564142019,0.01081916504,0.4650533199,0.06266501546,10.91676521,5.635363102,2.586560965,0.8888468742,0.6260106564,0.6282221079,0.6194421649,0.5569185615,0.2380079776,434.1931152,0.8947238326,suaraarchive
0.9874824286,16.92276192,6.415994167,0.2425134033,0.1197673082,70.92805481,141.9602051,5.557978153,4.801508427,12.60956287,14.11137486,0.4574606717,0.03529858217,2.344019413,8.658306122,4.685709953,0.1392756253,0.05250106007,0.5288258195,2.157874107,0.2444842309,0.9332731962,52.21308899,28.54704857,18.46661377,17.93716049,-8.608101845,0.4566841125,-8.721570969,1.160487175,-8.532752991,0.1667621136,25.64220238,9.145196915,0.3352681696,0.1383786052,132.6352844,194.8790131,7.820413113,5.366416931,9.106258392,12.08200836,0.304359138,0.219678998,1,0,0.5452436209,0.4979501665,0.0007733951788,0.02779919095,1242.235596,979.0650024,11.81593227,8.364196777,-2.39E-08,1.81E-08,0.09177739918,0.06884948909,0.001172991935,0.002089507645,0.08137314767,0.07179395854,0.002044234658,0.002806239063,0.008546892554,0.01799486391,7.56517601,0.728420198,0.1420895308,0.08748492599,6.076377869,7.404068947,0.008527096361,0.004102137871,432.5596008,837.7249756,1.67343533,0.9572141767,4992692,1663760.75,0.5988115072,0.4444550276,0.02751028724,0.02543997578,62,0.09992131591,0.0194154866,126.9763565,126,0.5593219995,112,0.5,0.01639344171,3.859266043,7.097210407,0.1143740341,0.006182380021,0.5455545187,0.1005015001,11.81412029,5.03636694,2.184880018,0.7274038792,0.6177332401,0.616543889,0.5901855826,0.676153779,0.08629672229,434.1931152,0.8019358516,suaraarchive
0.9631749392,17.07451248,6.302218914,0.2323250175,0.1313589662,68.67729187,138.7441254,4.862349033,4.757646561,23.63630867,26.476511,0.4782345593,0.02764438465,2.370920658,8.27673912,5.313042641,0.1268888265,0.05592727289,3.21453476,10.38663197,0.1931945831,1.778733134,70.89070129,45.16873169,60.96858597,96.11520386,-10.5999794,2.534872055,-10.77472401,1.256977439,-10.69829178,1.045012474,24.25780869,8.975907326,0.3186574876,0.1649644226,218.6134644,353.4221497,9.461208344,8.379117966,25.64582062,47.70625687,0.3310058117,0.2091632187,0.92266047,0.2671295404,0.4369682968,0.4960132539,0.0146945091,0.1203265116,1797.497314,1313.560425,13.28538322,12.76056862,-3.66E-08,3.23E-08,0.1437781751,0.1230080202,0.005566995125,0.01068296377,0.127941072,0.1211673096,0.002594331978,0.003992924001,0.008974409662,0.02124586329,7.876657963,0.9102402329,0.1683898121,0.1159678549,3.513531446,7.338704109,0.01049392577,0.005490776151,1815.870239,3286.599609,1.315540314,0.9983581901,7540059.5,2203491.25,0.7617373466,1.129956484,0.07418702543,0.08231508732,62,0.1488943696,0.07406985015,125.0866241,126,0.3898305297,140,0,0.03278688341,1.552879214,6.164243698,0.04945904016,0.007727975491,0.4216762483,0.0424040854,10.65238667,4.526160717,2.541407585,0.6933256388,0.4521186054,0.4466536343,0.449080646,0.3994233012,0.1378148347,434.1931152,0.775960207,suaraarchive
0.9846950769,16.56586075,5.572607517,0.1876020133,0.07525220513,22.35578728,30.30239487,3.688438416,2.643941164,26.47139931,28.17584229,0.4815178216,0.01764852926,1.746453047,8.313392639,3.540902853,0.1162261739,0.03331254423,1.061429501,1.933810711,-0.6901114583,0.6928116679,49.31462479,23.32552338,48.48339081,79.54412079,-9.761662483,0.781001091,-9.783899307,0.4426153004,-9.749156952,0.2502230406,28.8145237,7.152315617,0.2725575864,0.09405592084,70.4433136,73.79101563,6.711528778,3.411870956,20.49484444,31.27264786,0.3153346181,0.180735141,1,0,0.6728538275,0.4691711366,0,0,2038.922119,1024.603516,18.88631058,9.8487463,-1.96E-08,1.02E-08,0.07842452079,0.03746150061,0.003859672928,0.007896391675,0.06407535076,0.03609645739,0.004236610606,0.002806920558,0.007521084975,0.01848443784,7.873485565,0.4051226974,0.1214291602,0.08171474934,3.149371862,2.381713629,0.008457813412,0.002230973681,1670.083862,3371.712646,1.330300689,0.4974735975,5975890.5,1851111.375,0.4296867847,0.3211733401,0.05614894629,0.06475435942,63,0.05481823161,0.01308448613,127.1476059,126,0.5409835577,133,0,0.01612903178,2.516601563,4.464911938,0.01854714006,0.006182380021,0.464292556,0.08756677061,11.86402988,4.051247597,2.161722422,0.5769896507,0.5996735692,0.5879439712,0.5667609572,0.4645296633,0.2233823091,434.1931152,0.8526608348,suaraarchive
0.9853197932,16.5204792,5.48912096,0.2321411818,0.09902979434,53.2085495,95.10797882,4.829251766,3.474031687,12.69601822,16.41627121,0.4609565139,0.04123079404,2.835236311,7.730950832,4.030187607,0.1279014051,0.05071825907,2.283087969,4.301361561,0.6356557012,1.104453921,49.54571152,31.54989624,18.99435997,27.92001724,-9.602314949,0.727230072,-9.80057621,1.539252758,-9.582671165,0.6577766538,27.72135162,9.426446915,0.3343424797,0.1144530401,136.4720154,251.6850433,7.43719101,5.801625729,7.827397823,10.35571003,0.3443187177,0.2275498956,1,0,0.5653519034,0.4957089722,0.02629543655,0.1600140482,1034.302246,706.8745728,11.45320988,8.314311981,-2.17E-08,1.56E-08,0.08365751803,0.05952673778,0.0008897240041,0.002398746554,0.07063459605,0.05643236265,0.002802760573,0.007239919156,0.01050185785,0.018394785,7.60187912,0.7053459883,0.1230939105,0.1034183949,4.688889503,4.749048233,0.008216968738,0.00375480135,496.2288818,1240.999634,1.788838506,0.793746829,6212321.5,2511420,0.4169697165,0.2692001462,0.03180776536,0.03166132048,61,0.1546643525,0.04346337542,124.8656769,126,0.5,115,0,0.03333333507,2.014752865,7.03057003,0.1653786749,0.006182380021,0.5185379982,0.04662901163,11.45546722,5.291675091,2.371575356,0.7784271836,0.4754143953,0.4719980657,0.4651249945,0.6892746687,0.2385591567,434.1931152,0.8757543564,suaraarchive
0.8165485859,15.10052586,4.387946606,0.2469526827,0.08573444933,59.70080948,94.97064972,5.370458603,2.9319489,8.403083801,10.91217422,0.4592320621,0.02862269804,2.045218706,8.388282776,3.643592358,0.1205949411,0.03738489747,2.854295969,4.764958858,1.282319427,1.072861314,58.68297958,31.56981087,22.30013847,20.16196251,-11.35490131,3.907172203,-11.64290714,1.508485794,-11.63724327,1.322247982,22.39770317,6.772125721,0.3503851891,0.09649761021,121.4643173,167.2400208,6.971110821,3.914062023,4.993248463,6.935991287,0.46696347,0.1563530564,0.9396751523,0.2380878627,0.5320959091,0.4989673495,0,0,640.8982544,523.0227051,11.02320194,7.850505352,-3.55E-08,3.95E-08,0.1359585077,0.1498469412,0.0009646126418,0.001377076027,0.1227147579,0.1493040025,0.001951893209,0.004813917447,0.01342448592,0.01528768428,7.330256462,0.629034698,0.1379812062,0.1183664575,3.551123857,3.000034571,0.01051331777,0.004702404607,278.1644592,611.9353027,1.652150393,0.5988194942,6436516.5,1686286.25,0.5841552019,0.4175445735,0.02753483318,0.02407714911,60,0.2378029078,0.2801736295,122.8987732,123,0.08771932125,108,0,0.01694915257,1.678730011,7.297132015,0.0293663051,0.007727975491,0.5291107893,0.1145907417,11.04155922,4.214793682,2.374142408,0.6008451581,0.6554861069,0.6649907827,0.6685569882,0.4333437085,0.248384282,434.1931152,0.9645053148,suaraarchive
